--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:02:11.723   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:11.926   406   418 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.012   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.051   406  1803 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.121   406   681 W TaintLog: libcore.os.write(252) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.160   406   681 W TaintLog: libcore.os.write(252) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.223   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.262   406   669 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.332   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.371   406  1189 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.449   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.488   406  1754 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.574   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.613   406   680 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.707   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.738   406  1608 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.816   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.848   406   406 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:12.934   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:12.965   406   682 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.043   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.074   406  1802 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.207   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.238   406   417 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.316   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.348   406  1758 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
07-07 03:02:13.434   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{417d86b8 SearchPanel paused=false]
07-07 03:02:13.465   406   691 W TaintLog: libcore.os.write(263) writing with tag 0x31 data[ontent=[0,50][720,1184] visible=[0,50][720,740].    Cur insets: content=[0,50][0,0] visible=[0,50][0]
