--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
07-07 03:12:15.826   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:15.919   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:15.958   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:16.083   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:16.146   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:16.240   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:16.279   416   745 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:16.427   416   651 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:16.466   416   651 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:16.599   416   652 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:16.654   416   652 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:16.763   416  1567 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:16.802   416  1567 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:16.912   416   416 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:16.958   416   416 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:17.052   416   427 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:17.146   416   427 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:17.248   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:17.302   416  1565 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:17.404   416   737 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:17.443   416   737 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:17.537   416   749 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:17.583   416   749 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:17.685   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:17.732   416  1566 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:17.888   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:17.935   416  1995 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:18.060   416   637 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:18.123   416   637 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:18.224   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:18.271   416   748 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:18.396   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
07-07 03:12:18.435   416   738 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[0][0,0] visible=[0,50][0,0].    mSurface=Surface(name=com.lianyun.wenwan/com.lianyun.wenwan.ui.MainA]
07-07 03:12:18.552   416  1994 W TaintLog: libcore.os.write(260) writing with tag 0x11 data[WINDOW MANAGER WINDOWS (dumpsys window windows).  Window #8 Window{414ae128 SearchPanel paused=false]
